wid,time_elapsed,button_pressed,trial_type,stimulus,rt,view_history,responses,correct,questions,trial_time,simulation_mode,trial_id,rewards,block,delays,actions,path,trial_index,state_rewards,queries,score,prs,action_times,key_press
wcf6b956,555107,,survey-text,,89228,,"{""Q0"":""I can click on only the destinations rather than the stops on the way."",""Q1"":""The mortgage with the lowest interest rate in the long run (19 years) would be the most important. ""}",,,,,,,,,,,,,,,,,
wcf6b956,696572,,survey-text,,140448,,"{""Q0"":""Look at the big picture rather than all the small things that happen along the way."",""Q1"":""When choosing how much money of my stimulus check to put into savings, I decided to save more rather than spending."",""Q2"":""I had to think about what I needed in the long run vs what I wanted currently. ""}",,,,,,,,,,,,,,,,,
wcf6b956,710136,,survey-text,,3170,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
wcfde54b,794714,,survey-text,,226622,,"{""Q0"":""I can find a good flight plan after taking decision perfectly."",""Q1"":""I would choose these type of loans after talking full knowledge about flight planning and many other necessary steps also.""}",,,,,,,,,,,,,,,,,
wcfde54b,992300,,survey-text,,196526,,"{""Q0"":""he aware me about quite decision"",""Q1"":""to establish a man for his family and future"",""Q2"":""the only way is decision making very quite""}",,,,,,,,,,,,,,,,,
wcfde54b,1036363,,survey-text,,28803,,"{""Q0"":""no"",""Q1"":""this study was just amazing. i enjoyed it""}",,,,,,,,,,,,,,,,,
w63876de,581913,,survey-text,,109639,,"{""Q0"":""I found the timer too confusing to really consider that, I just clicked where it was least likely to come up with a timer saying I had to wait a certain amount of time before the next move because I found it inconsistent and confusing and tried to avoid it. "",""Q1"":""I didn't really see flight planning as a good metaphor for anything so I just would go based on which had the best interest rate. ""}",,,,,,,,,,,,,,,,,
w63876de,673262,,survey-text,,90341,,"{""Q0"":""I would tell them to try clicking in the same spots because that seems to make the prompt for the timer happen the fewest. "",""Q1"":""When I'm cooking something according to a recipe and I find that the instructions don't really follow well with my setup so I deviate in order to make the best meal possible. "",""Q2"":""It's not really that similar. ""}",,,,,,,,,,,,,,,,,
w63876de,744001,,survey-text,,58764,,"{""Q0"":""I didn't understand why it kept saying I hadn't clicked right or I needed to wait a certain amount of time and it had no countdown timer, either. I didn't recall that stuff being part of the instructions and it provided no explanation for why it gave those prompts so I didn't find them helpful, just irritating. "",""Q1"":""No, thank you.""}",,,,,,,,,,,,,,,,,
w06dda84,586757,,survey-text,,55830,,"{""Q0"":""I try to check the destinations before the routes."",""Q1"":""Well, I'm not sure""}",,,,,,,,,,,,,,,,,
w06dda84,706843,,survey-text,,119047,,"{""Q0"":""I'll tell em to foresee the results of their decisions. "",""Q1"":""My real estate investments."",""Q2"":""Foresight of end points.""}",,,,,,,,,,,,,,,,,
w06dda84,722596,,survey-text,,11371,,"{""Q0"":""Nope"",""Q1"":""Nope""}",,,,,,,,,,,,,,,,,
w693b738,1048609,,survey-text,,205164,,"{""Q0"":""The big rewards seem to be on the outer terminating points.  Part of not spending too much on clicks is getting lucky with the first guesses."",""Q1"":""I would only choose the 19 year mortgage, provided the interest rate was reasonable.  I do not want a variable interest rate, at this point I desire stability and the known.""}",,,,,,,,,,,,,,,,,
w693b738,1229758,,survey-text,,180140,,"{""Q0"":""Pick a point to fly to.  You may have to change your plan depending on the cost.  Even with a different destination than originally planned your trip will be an adventure."",""Q1"":""Planning too hard for one outcome can lead to disappointment.  The flight plan method makes it clear that a plan may change and that is desirable."",""Q2"":""A player could be disappointed in spending too much on clicks and not moving forward with the flight plan.  There is a point of diminishing returns if you click too much to route the perfect plan.""}",,,,,,,,,,,,,,,,,
w693b738,1262899,,survey-text,,19044,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
w1ba4d2a,458772,,survey-text,,88349,,"{""Q0"":""I could look at the values of the final destination first because a +48 destination route will always be better than one which isn't because it is worth more."",""Q1"":""Based on Flight Planning, I would choose based on the next 19 years.""}",,,,,,,,,,,,,,,,,
w1ba4d2a,588755,,survey-text,,128955,,"{""Q0"":""Always keep the long term goal in mind when making decisions."",""Q1"":""Going through college"",""Q2"":""I did not think of the long term goal from going through college and only thought of the short term (passing my classes). I ended up switching majors after I got my bachelors.""}",,,,,,,,,,,,,,,,,
w1ba4d2a,611397,,survey-text,,8629,,"{""Q0"":""no"",""Q1"":""none""}",,,,,,,,,,,,,,,,,
w55bcaca,580844,,survey-text,,281012,,"{""Q0"":""I can use my own strategy."",""Q1"":""I would choose the one which would be beneficial for me.""}",,,,,,,,,,,,,,,,,
w905a6a8,473678,,survey-text,,139285,,"{""Q0"":""I focused on finding the highest value of the last stop to choose where the plane should go. I didn't focus on the in between numbers between the start and end points."",""Q1"":""I would choose the best long term goal, which is the lowest interest rate for the next 19 years.""}",,,,,,,,,,,,,,,,,
w905a6a8,600897,,survey-text,,126118,,"{""Q0"":""I learned that the smaller in between steps of life aren't as important to me as the end goal. I don't need to focus or be so hard on myself for those smaller steps."",""Q1"":""This would work well for my career goal."",""Q2"":""This is similar because the path to get to my career requires many smaller steps, like tests and school, to get there.""}",,,,,,,,,,,,,,,,,
w905a6a8,630750,,survey-text,,19209,,"{""Q0"":""Nothing was difficult to understand."",""Q1"":""No.""}",,,,,,,,,,,,,,,,,
w5c09935,613495,,survey-text,,71451,,"{""Q0"":""I think that I did what was optimal by clicking on the points at the end of the path. The short term hit was worth it to find the most profitable path."",""Q1"":""I would choose the loan that cost the least over the entire course of the loan.""}",,,,,,,,,,,,,,,,,
w5c09935,703473,,survey-text,,88970,,"{""Q0"":""It is better to pursue long term goals over short term gains."",""Q1"":""Saving up for a good downpayment on a house rather than paying PMI and getting a house sooner."",""Q2"":""Choosing the best long term strategy is the most profitable.""}",,,,,,,,,,,,,,,,,
w5c09935,833645,,survey-text,,117121,,"{""Q0"":""Nope!"",""Q1"":""Yes - your suggestion about clicking until the $48 dollar spot is visible is unnecessary if all the other spots are already revealed (the $48 spot can be determined by process of deduction). Following your advice would lead to $1 less profit! :-)""}",,,,,,,,,,,,,,,,,
wb264739,1115344,,survey-text,,304129,,"{""Q0"":""Try to change my flight decisions and try to make a correct decision in each game, it is preferable to choose the final destinations in each flight line"",""Q1"":""I think that the first month loan would be the option, since I would be making short-term decisions that could be good agreement for now and thus trying to choose the best for my life""}",,,,,,,,,,,,,,,,,
wb264739,1578167,,survey-text,,461813,,"{""Q0"":""According to my decisions, whether in the short, medium or long term, I could improve my life or have some consequences, it all depends on the path I want to take"",""Q1"":""I think that the way I invest my money to obtain more future earnings and thus improve my lifestyle, can sometimes go well or badly"",""Q2"":""That depending on the decisions I make, I could go well in life or it could have consequences, since it has some risk and it all depends on the way I choose to use my money""}",,,,,,,,,,,,,,,,,
wb264739,1619931,,survey-text,,18148,,"{""Q0"":""None"",""Q1"":""""}",,,,,,,,,,,,,,,,,
we768dde,527937,,survey-text,,95827,,"{""Q0"":""click the furthest destinations first."",""Q1"":""look at the interest rates of the last 19 years.""}",,,,,,,,,,,,,,,,,
we768dde,648086,,survey-text,,119098,,"{""Q0"":""try to think ahead or of long term effects"",""Q1"":""buying a car, I would try to think how the car payment would effect my life months down the road"",""Q2"":""I would choose the car with the lowest payment because I can't foresee all possible outcomes""}",,,,,,,,,,,,,,,,,
we768dde,668396,,survey-text,,7665,,"{""Q0"":""no"",""Q1"":""no""}",,,,,,,,,,,,,,,,,
w65bc127,927437,,survey-text,,239938,,"{""Q0"":""learning more for more information"",""Q1"":""the next 19 years""}",,,,,,,,,,,,,,,,,
w65bc127,1102573,,survey-text,,174109,,"{""Q0"":""it's the final goal that matters in the end. "",""Q1"":""where to live, when to purchase a house, etc."",""Q2"":""getting a mortgage for owing a house for a long period""}",,,,,,,,,,,,,,,,,
w65bc127,1118012,,survey-text,,5092,,"{""Q0"":""no"",""Q1"":""no""}",,,,,,,,,,,,,,,,,
